trade_id,symbol,source_symbol,signal_time,entry_time,exit_time,session,direction,entry,stop,target,exit_price,gross_r,cost_r,net_r,outcome,reason_for_entry,reason_for_exit,market_regime,setup,structure_key,gross_winner,net_winner
EURUSD-001,EURUSD,EURUSD,2025-06-27 13:05,2025-06-27 13:10,2025-06-27 13:20,NewYork,long,1.17124,1.17042,1.17288,1.17042,-1.0,3.4146,-4.4146,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|HIGH_ATR,OB+FVG,long:56:53,False,False
EURUSD-002,EURUSD,EURUSD,2025-06-30 11:50,2025-06-30 11:55,2025-06-30 13:10,NewYork,long,1.17254,1.17161,1.17441,1.17161,-1.0,3.0108,-4.0108,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|HIGH_ATR,OB+FVG,long:54:58,False,False
EURUSD-003,EURUSD,EURUSD,2025-06-30 13:25,2025-06-30 13:30,2025-06-30 15:10,NewYork,long,1.17225,1.1716,1.17356,1.1716,-1.0,4.3077,-5.3077,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|HIGH_ATR,OB+FVG,long:35:57,False,False
EURUSD-004,EURUSD,EURUSD,2025-07-01 06:00,2025-07-01 06:05,2025-07-01 08:45,London,long,1.17891,1.17816,1.18041,1.17816,-1.0,3.7333,-4.7333,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|HIGH_ATR,OB+FVG,long:39:55,False,False
EURUSD-005,EURUSD,EURUSD,2025-07-01 13:20,2025-07-01 13:25,2025-07-01 17:00,NewYork,short,1.18111,1.18239,1.17855,1.17855,2.0,2.1875,-0.1875,TARGET,H1_BIAS_SHORT | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,TARGET,BEARISH|HIGH_ATR,OB+FVG,short:48:57,True,False
EURUSD-006,EURUSD,EURUSD,2025-07-03 08:45,2025-07-03 08:50,2025-07-03 10:25,London,long,1.17926,1.17858,1.18062,1.18062,2.0,4.1176,-2.1176,TARGET,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,TARGET,BULLISH|LOW_ATR,OB+FVG,long:57:57,True,False
EURUSD-007,EURUSD,EURUSD,2025-07-07 12:55,2025-07-07 13:00,2025-07-07 13:25,NewYork,long,1.17334,1.17274,1.17454,1.17274,-1.0,4.6667,-5.6667,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|MID_ATR,OB+FVG,long:41:58,False,False
EURUSD-008,EURUSD,EURUSD,2025-07-08 14:00,2025-07-08 14:05,2025-07-08 14:55,NewYork,long,1.17318,1.17222,1.17511,1.17222,-1.0,2.9167,-3.9167,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|MID_ATR,OB+FVG,long:41:56,False,False
EURUSD-009,EURUSD,EURUSD,2025-07-10 07:40,2025-07-10 07:45,2025-07-10 09:40,London,long,1.17349,1.17295,1.17457,1.17295,-1.0,5.1852,-6.1852,STOP,H1_BIAS_LONG | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,STOP,BULLISH|LOW_ATR,OB+FVG,long:42:57,False,False
EURUSD-010,EURUSD,EURUSD,2025-07-14 14:55,2025-07-14 15:00,2025-07-14 16:10,NewYork,short,1.1688,1.16934,1.16772,1.16772,2.0,5.1852,-3.1852,TARGET,H1_BIAS_SHORT | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,TARGET,BEARISH|MID_ATR,OB+FVG,short:58:55,True,False
EURUSD-011,EURUSD,EURUSD,2025-07-17 08:35,2025-07-17 08:40,2025-07-17 09:00,London,short,1.16213,1.16255,1.16128,1.16128,2.0238,6.6667,-4.6429,TARGET,H1_BIAS_SHORT | SESSION_OK | LIQUIDITY_SWEEP_CONFIRMED | POI_CONFIRMED | CHoCH_CONFIRMED,TARGET,BEARISH|MID_ATR,OB+FVG,short:32:57,True,False
