experiment_id,event,bar,fraction,new_stop,symbol,strategy_version,trade_id,remaining_fraction,stop_before,stop_after,price,reason
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,1.15976,,,,,,,,
baseline,+1R_REACHED,10,,,,,,,,,,
baseline,PARTIAL_TAKEN,10,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,10,,1.17225,,,,,,,,
baseline,+1R_REACHED,35,,,,,,,,,,
baseline,PARTIAL_TAKEN,35,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,35,,1.18111,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,1.17926,,,,,,,,
baseline,+1R_REACHED,13,,,,,,,,,,
baseline,PARTIAL_TAKEN,13,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,13,,1.17349,,,,,,,,
baseline,+1R_REACHED,6,,,,,,,,,,
baseline,PARTIAL_TAKEN,6,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,6,,1.1688,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,1.16213,,,,,,,,
baseline,+1R_REACHED,0,,,,,,,,,,
baseline,PARTIAL_TAKEN,0,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,0,,1.16988,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,1.15924,,,,,,,,
baseline,+1R_REACHED,9,,,,,,,,,,
baseline,PARTIAL_TAKEN,9,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,9,,1.14284,,,,,,,,
