symbol,timeframe,timestamp,classification,source_file
EURUSD,H4,2022-12-26T00:00:00Z,Broker maintenance,EURUSD_H4.csv
EURUSD,H4,2022-12-26T04:00:00Z,Export omission,EURUSD_H4.csv
EURUSD,H4,2023-01-02T00:00:00Z,Broker maintenance,EURUSD_H4.csv
EURUSD,M15,2022-12-26T00:00:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2022-12-26T00:15:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2022-12-26T00:30:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2022-12-26T00:45:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2022-12-26T01:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T01:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T01:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T01:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T02:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T02:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T02:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T02:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T03:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T03:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T03:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T03:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T04:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T04:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T04:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T04:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T05:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T05:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T05:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T05:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T06:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T06:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T06:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T06:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T07:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T07:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T07:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T07:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T08:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T08:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T08:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2022-12-26T08:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T00:00:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2023-01-02T00:15:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2023-01-02T00:30:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2023-01-02T00:45:00Z,Broker maintenance,EURUSD_M15.csv
EURUSD,M15,2023-01-02T01:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T01:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T01:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T01:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T02:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T02:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T02:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T02:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T03:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T03:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T03:30:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T03:45:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T04:00:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T04:15:00Z,Export omission,EURUSD_M15.csv
EURUSD,M15,2023-01-02T04:30:00Z,Export omission,EURUSD_M15.csv
