time,open,high,low,close,volume,session,news_flag
2021-01-04T00:00:00Z,1.3645200000,1.3689500000,1.3644300000,1.3682300000,12470,OTHER,false
2021-01-04T04:00:00Z,1.3682300000,1.3698200000,1.3667600000,1.3683600000,12050,OTHER,false
2021-01-04T08:00:00Z,1.3683200000,1.3702900000,1.3664500000,1.3673300000,17869,LONDON,false
2021-01-04T12:00:00Z,1.3672900000,1.3703700000,1.3614300000,1.3626800000,20935,OTHER,false
2021-01-04T16:00:00Z,1.3626800000,1.3631800000,1.3541800000,1.3566400000,26735,OTHER,false
2021-01-04T20:00:00Z,1.3566300000,1.3579100000,1.3551300000,1.3568000000,13997,OTHER,false
2021-01-05T00:00:00Z,1.3567900000,1.3578700000,1.3559200000,1.3569400000,11025,OTHER,false
2021-01-05T04:00:00Z,1.3569400000,1.3602300000,1.3567200000,1.3596900000,13455,OTHER,false
2021-01-05T08:00:00Z,1.3597000000,1.3612500000,1.3554000000,1.3572400000,19246,LONDON,false
2021-01-05T12:00:00Z,1.3572300000,1.3607000000,1.3559000000,1.3567000000,19622,OTHER,false
2021-01-05T16:00:00Z,1.3567000000,1.3642100000,1.3563500000,1.3632500000,24258,OTHER,false
2021-01-05T20:00:00Z,1.3632500000,1.3635000000,1.3613000000,1.3625500000,9787,OTHER,false
2021-01-06T00:00:00Z,1.3625200000,1.3646500000,1.3598900000,1.3606400000,17314,OTHER,false
2021-01-06T04:00:00Z,1.3606400000,1.3620600000,1.3591300000,1.3615700000,18278,OTHER,false
2021-01-06T08:00:00Z,1.3615700000,1.3660700000,1.3609500000,1.3644200000,21481,LONDON,false
2021-01-06T12:00:00Z,1.3644200000,1.3671100000,1.3565000000,1.3565200000,21165,OTHER,false
2021-01-06T16:00:00Z,1.3564800000,1.3607000000,1.3538500000,1.3604900000,30109,OTHER,false
2021-01-06T20:00:00Z,1.3604900000,1.3626100000,1.3596100000,1.3607800000,21820,OTHER,false
2021-01-07T00:00:00Z,1.3606500000,1.3633200000,1.3599800000,1.3620100000,9919,OTHER,false
2021-01-07T04:00:00Z,1.3620100000,1.3620700000,1.3572600000,1.3584600000,9476,OTHER,false
2021-01-07T08:00:00Z,1.3584700000,1.3626800000,1.3564300000,1.3594500000,19020,LONDON,false
2021-01-07T12:00:00Z,1.3594300000,1.3612800000,1.3556500000,1.3587900000,20219,OTHER,false
2021-01-07T16:00:00Z,1.3587900000,1.3603600000,1.3532600000,1.3548100000,26721,OTHER,false
2021-01-07T20:00:00Z,1.3548200000,1.3577700000,1.3548100000,1.3562500000,12055,OTHER,false
2021-01-08T00:00:00Z,1.3562600000,1.3572300000,1.3538000000,1.3553100000,9316,OTHER,false
2021-01-08T04:00:00Z,1.3552700000,1.3570300000,1.3546600000,1.3560300000,10287,OTHER,false
2021-01-08T08:00:00Z,1.3560300000,1.3602100000,1.3557600000,1.3600400000,20791,LONDON,false
2021-01-08T12:00:00Z,1.3600400000,1.3626100000,1.3574500000,1.3619500000,21032,OTHER,false
2021-01-08T16:00:00Z,1.3619400000,1.3635600000,1.3547300000,1.3579100000,33535,OTHER,false
2021-01-08T20:00:00Z,1.3579100000,1.3579100000,1.3543100000,1.3560600000,16910,OTHER,false
2021-01-11T00:00:00Z,1.3540200000,1.3568800000,1.3505300000,1.3509300000,10961,OTHER,false
2021-01-11T04:00:00Z,1.3509200000,1.3516600000,1.3491500000,1.3501100000,9613,OTHER,false
2021-01-11T08:00:00Z,1.3501100000,1.3515600000,1.3482600000,1.3492600000,19676,LONDON,false
2021-01-11T12:00:00Z,1.3492700000,1.3502600000,1.3458100000,1.3464600000,19183,OTHER,false
2021-01-11T16:00:00Z,1.3464700000,1.3530200000,1.3450800000,1.3525500000,27594,OTHER,false
2021-01-11T20:00:00Z,1.3525600000,1.3534900000,1.3505300000,1.3511600000,8396,OTHER,false
2021-01-12T00:00:00Z,1.3511200000,1.3530200000,1.3504000000,1.3523000000,10265,OTHER,false
2021-01-12T04:00:00Z,1.3523000000,1.3545100000,1.3515600000,1.3543500000,8903,OTHER,false
2021-01-12T08:00:00Z,1.3543400000,1.3606400000,1.3537900000,1.3602700000,20595,LONDON,false
2021-01-12T12:00:00Z,1.3602600000,1.3605300000,1.3575500000,1.3586700000,18633,OTHER,false
2021-01-12T16:00:00Z,1.3586600000,1.3637000000,1.3580800000,1.3624100000,23078,OTHER,false
2021-01-12T20:00:00Z,1.3624100000,1.3670000000,1.3621100000,1.3662600000,11573,OTHER,false
2021-01-13T00:00:00Z,1.3662500000,1.3682700000,1.3654200000,1.3679200000,7897,OTHER,false
2021-01-13T04:00:00Z,1.3679200000,1.3692700000,1.3674500000,1.3676900000,8706,OTHER,false
2021-01-13T08:00:00Z,1.3676900000,1.3700800000,1.3662000000,1.3689400000,17065,LONDON,false
2021-01-13T12:00:00Z,1.3689200000,1.3693600000,1.3653100000,1.3681700000,19723,OTHER,false
2021-01-13T16:00:00Z,1.3681500000,1.3682100000,1.3611700000,1.3639500000,24375,OTHER,false
2021-01-13T20:00:00Z,1.3639800000,1.3652000000,1.3625800000,1.3633800000,8650,OTHER,false
2021-01-14T00:00:00Z,1.3635200000,1.3655000000,1.3629200000,1.3649900000,8864,OTHER,false
2021-01-14T04:00:00Z,1.3650000000,1.3651100000,1.3616000000,1.3639000000,14013,OTHER,false
2021-01-14T08:00:00Z,1.3638900000,1.3680000000,1.3627700000,1.3652100000,18441,LONDON,false
2021-01-14T12:00:00Z,1.3651900000,1.3662500000,1.3620600000,1.3627000000,17992,OTHER,false
2021-01-14T16:00:00Z,1.3627000000,1.3711000000,1.3623400000,1.3688900000,20583,OTHER,false
2021-01-14T20:00:00Z,1.3688900000,1.3701100000,1.3669600000,1.3686200000,12040,OTHER,false
2021-01-15T00:00:00Z,1.3685800000,1.3697500000,1.3680600000,1.3683000000,9432,OTHER,false
2021-01-15T04:00:00Z,1.3683000000,1.3692100000,1.3666900000,1.3674400000,13405,OTHER,false
2021-01-15T08:00:00Z,1.3674300000,1.3680200000,1.3637400000,1.3640400000,18042,LONDON,false
2021-01-15T12:00:00Z,1.3640400000,1.3660500000,1.3605300000,1.3605400000,18504,OTHER,false
2021-01-15T16:00:00Z,1.3605500000,1.3615600000,1.3572400000,1.3605400000,23447,OTHER,false
2021-01-15T20:00:00Z,1.3605100000,1.3605100000,1.3576300000,1.3582000000,7383,OTHER,false
2021-01-18T00:00:00Z,1.3587000000,1.3598700000,1.3566000000,1.3585600000,10324,OTHER,false
2021-01-18T04:00:00Z,1.3585600000,1.3589600000,1.3559900000,1.3572000000,12018,OTHER,false
2021-01-18T08:00:00Z,1.3572000000,1.3573400000,1.3519600000,1.3528900000,15712,LONDON,false
2021-01-18T12:00:00Z,1.3529000000,1.3557200000,1.3525900000,1.3555500000,13677,OTHER,false
2021-01-18T16:00:00Z,1.3555500000,1.3587700000,1.3544800000,1.3581600000,10319,OTHER,false
2021-01-18T20:00:00Z,1.3581700000,1.3587700000,1.3578000000,1.3585100000,6139,OTHER,false
2021-01-19T00:00:00Z,1.3585300000,1.3610200000,1.3573000000,1.3602900000,9462,OTHER,false
2021-01-19T04:00:00Z,1.3602900000,1.3614600000,1.3598100000,1.3608600000,10964,OTHER,false
2021-01-19T08:00:00Z,1.3608600000,1.3612500000,1.3584200000,1.3607200000,15430,LONDON,false
2021-01-19T12:00:00Z,1.3607200000,1.3627300000,1.3604200000,1.3615800000,16347,OTHER,false
2021-01-19T16:00:00Z,1.3616000000,1.3628500000,1.3604400000,1.3625600000,18293,OTHER,false
2021-01-19T20:00:00Z,1.3625700000,1.3636400000,1.3619800000,1.3632500000,7955,OTHER,false
2021-01-20T00:00:00Z,1.3629100000,1.3650500000,1.3622500000,1.3643300000,8838,OTHER,false
2021-01-20T04:00:00Z,1.3643300000,1.3657300000,1.3642800000,1.3654400000,9496,OTHER,false
2021-01-20T08:00:00Z,1.3654300000,1.3698200000,1.3652100000,1.3690200000,19408,LONDON,false
2021-01-20T12:00:00Z,1.3690500000,1.3718600000,1.3659300000,1.3672700000,19013,OTHER,false
2021-01-20T16:00:00Z,1.3672700000,1.3680400000,1.3623400000,1.3642500000,21392,OTHER,false
2021-01-20T20:00:00Z,1.3642500000,1.3660300000,1.3636100000,1.3650400000,7402,OTHER,false
2021-01-21T00:00:00Z,1.3650600000,1.3681600000,1.3647600000,1.3672900000,8220,OTHER,false
2021-01-21T04:00:00Z,1.3672900000,1.3694700000,1.3669200000,1.3694400000,7556,OTHER,false
2021-01-21T08:00:00Z,1.3694700000,1.3746200000,1.3691700000,1.3733300000,15110,LONDON,false
2021-01-21T12:00:00Z,1.3733200000,1.3736800000,1.3708300000,1.3711400000,19056,OTHER,false
2021-01-21T16:00:00Z,1.3711400000,1.3739800000,1.3705500000,1.3710100000,20467,OTHER,false
2021-01-21T20:00:00Z,1.3710200000,1.3738100000,1.3703500000,1.3730400000,10040,OTHER,false
2021-01-22T00:00:00Z,1.3731100000,1.3735700000,1.3714900000,1.3716800000,8134,OTHER,false
2021-01-22T04:00:00Z,1.3716800000,1.3721500000,1.3704200000,1.3707100000,9339,OTHER,false
2021-01-22T08:00:00Z,1.3706900000,1.3707200000,1.3651700000,1.3667800000,18015,LONDON,false
2021-01-22T12:00:00Z,1.3667700000,1.3676900000,1.3635600000,1.3647000000,14897,OTHER,false
2021-01-22T16:00:00Z,1.3646700000,1.3684600000,1.3641200000,1.3678900000,16174,OTHER,false
2021-01-22T20:00:00Z,1.3678900000,1.3692900000,1.3673400000,1.3682200000,6475,OTHER,false
2021-01-25T00:00:00Z,1.3679300000,1.3691000000,1.3670800000,1.3681800000,8885,OTHER,false
2021-01-25T04:00:00Z,1.3681700000,1.3715200000,1.3681700000,1.3714800000,8843,OTHER,false
2021-01-25T08:00:00Z,1.3714900000,1.3723700000,1.3665700000,1.3673100000,15144,LONDON,false
2021-01-25T12:00:00Z,1.3673200000,1.3699100000,1.3667600000,1.3682700000,14571,OTHER,false
2021-01-25T16:00:00Z,1.3682700000,1.3691000000,1.3648700000,1.3669700000,22112,OTHER,false
2021-01-25T20:00:00Z,1.3669700000,1.3677300000,1.3659200000,1.3674300000,7653,OTHER,false
2021-01-26T00:00:00Z,1.3674400000,1.3679400000,1.3660200000,1.3674900000,4513,OTHER,false
2021-01-26T04:00:00Z,1.3674900000,1.3677000000,1.3646100000,1.3653100000,7824,OTHER,false
2021-01-26T08:00:00Z,1.3653200000,1.3664600000,1.3609900000,1.3658400000,15786,LONDON,false
2021-01-26T12:00:00Z,1.3658400000,1.3714300000,1.3644400000,1.3707900000,16472,OTHER,false
2021-01-26T16:00:00Z,1.3708000000,1.3744100000,1.3705900000,1.3731600000,16779,OTHER,false
2021-01-26T20:00:00Z,1.3731600000,1.3741300000,1.3727900000,1.3735900000,8674,OTHER,false
2021-01-27T00:00:00Z,1.3736200000,1.3751700000,1.3730000000,1.3732600000,7723,OTHER,false
2021-01-27T04:00:00Z,1.3732500000,1.3744700000,1.3722800000,1.3742700000,8317,OTHER,false
2021-01-27T08:00:00Z,1.3742800000,1.3758600000,1.3720800000,1.3734800000,13752,LONDON,false
2021-01-27T12:00:00Z,1.3734700000,1.3744800000,1.3681600000,1.3694500000,16906,OTHER,false
2021-01-27T16:00:00Z,1.3694700000,1.3713600000,1.3659000000,1.3712600000,26184,OTHER,false
2021-01-27T20:00:00Z,1.3712600000,1.3730400000,1.3673100000,1.3685300000,21353,OTHER,false
2021-01-28T00:00:00Z,1.3685200000,1.3693300000,1.3650900000,1.3677600000,11398,OTHER,false
2021-01-28T04:00:00Z,1.3677600000,1.3680400000,1.3661600000,1.3679500000,11381,OTHER,false
2021-01-28T08:00:00Z,1.3679500000,1.3679500000,1.3630100000,1.3650100000,18576,LONDON,false
2021-01-28T12:00:00Z,1.3650100000,1.3684200000,1.3637500000,1.3682200000,20563,OTHER,false
2021-01-28T16:00:00Z,1.3682200000,1.3733700000,1.3681100000,1.3725600000,25451,OTHER,false
2021-01-28T20:00:00Z,1.3725600000,1.3745500000,1.3717600000,1.3718100000,13936,OTHER,false
2021-01-29T00:00:00Z,1.3718600000,1.3732600000,1.3706900000,1.3714600000,7900,OTHER,false
2021-01-29T04:00:00Z,1.3714600000,1.3717400000,1.3695400000,1.3703700000,13261,OTHER,false
2021-01-29T08:00:00Z,1.3703700000,1.3719200000,1.3657300000,1.3667100000,18054,LONDON,false
2021-01-29T12:00:00Z,1.3667100000,1.3749300000,1.3657400000,1.3738800000,21321,OTHER,false
2021-01-29T16:00:00Z,1.3738900000,1.3751400000,1.3700300000,1.3706200000,24552,OTHER,false
2021-01-29T20:00:00Z,1.3706300000,1.3720600000,1.3691500000,1.3698100000,13210,OTHER,false
2021-02-01T00:00:00Z,1.3702900000,1.3728900000,1.3693700000,1.3720900000,10043,OTHER,false
2021-02-01T04:00:00Z,1.3720800000,1.3753100000,1.3720800000,1.3746300000,11311,OTHER,false
2021-02-01T08:00:00Z,1.3746300000,1.3757900000,1.3714700000,1.3729100000,16774,LONDON,false
2021-02-01T12:00:00Z,1.3729000000,1.3729400000,1.3675600000,1.3678200000,15744,OTHER,false
2021-02-01T16:00:00Z,1.3678200000,1.3696900000,1.3656400000,1.3675600000,18793,OTHER,false
